iter	Passed	Remaining
0	0	58
1	0	44
2	1	39
3	1	34
4	1	32
5	2	34
6	2	32
7	2	31
8	2	30
9	3	29
10	3	28
11	3	27
12	3	26
13	4	26
14	4	25
15	4	24
16	5	24
17	5	24
18	5	23
19	5	23
20	6	22
21	6	22
22	6	21
23	6	21
24	7	21
25	7	20
26	7	20
27	7	19
28	7	19
29	8	19
30	8	18
31	8	18
32	8	18
33	9	17
34	9	17
35	9	17
36	9	16
37	10	16
38	10	16
39	10	16
40	10	15
41	11	15
42	11	15
43	11	15
44	12	14
45	12	14
46	12	14
47	13	14
48	13	13
49	13	13
50	13	13
51	14	13
52	14	12
53	14	12
54	14	12
55	15	11
56	15	11
57	15	11
58	15	11
59	16	10
60	16	10
61	16	10
62	17	10
63	17	9
64	17	9
65	18	9
66	18	9
67	18	8
68	18	8
69	18	8
70	19	7
71	19	7
72	19	7
73	19	6
74	20	6
75	20	6
76	20	6
77	20	5
78	21	5
79	21	5
80	21	5
81	21	4
82	22	4
83	22	4
84	22	3
85	22	3
86	22	3
87	23	3
88	23	2
89	23	2
90	23	2
91	24	2
92	24	1
93	26	1
94	26	1
95	27	1
96	27	0
97	27	0
98	28	0
99	28	0
