iter	Passed	Remaining
0	48	48167
1	48	24204
2	48	16215
3	49	12218
4	49	9822
5	49	8218
6	49	7071
7	50	6212
8	50	5544
9	50	5009
10	50	4572
11	51	4207
12	51	3898
13	51	3634
14	51	3405
15	52	3204
16	52	3028
17	52	2871
18	52	2730
19	53	2603
20	53	2489
21	53	2385
22	53	2290
23	54	2203
24	54	2122
25	54	2048
26	54	1980
27	55	1916
28	55	1856
29	55	1801
30	55	1749
31	56	1700
32	56	1655
33	56	1612
34	57	1571
35	57	1533
36	57	1496
37	57	1462
38	58	1429
39	58	1398
40	58	1368
41	58	1340
42	59	1313
43	59	1288
44	59	1263
45	59	1240
46	60	1217
47	60	1195
48	60	1175
49	60	1155
50	61	1137
51	61	1120
52	61	1102
53	61	1085
54	62	1069
55	62	1053
56	62	1037
57	62	1023
58	63	1008
59	63	994
60	63	981
61	64	968
62	64	955
63	64	943
64	64	931
65	65	920
66	65	909
67	65	898
68	65	887
69	66	877
70	66	867
71	66	857
72	66	848
73	67	838
74	67	829
75	67	820
76	67	812
77	68	803
78	68	795
79	68	787
80	68	779
81	68	772
82	69	763
83	69	756
84	69	748
85	69	742
86	70	735
87	70	731
88	70	725
89	71	719
90	71	713
91	71	707
92	71	701
93	72	695
94	72	689
95	72	683
96	72	678
97	73	673
98	73	667
99	73	662
100	73	657
101	74	652
102	74	648
103	74	643
104	74	639
105	75	634
106	75	630
107	75	626
108	76	622
109	76	618
110	76	614
111	76	609
112	77	605
113	77	602
114	77	599
115	78	595
116	78	591
117	78	587
118	78	583
119	79	579
120	79	576
121	79	572
122	79	569
123	80	565
124	80	562
125	80	558
126	80	555
127	80	551
128	81	548
129	81	545
130	81	542
131	82	539
132	82	536
133	82	532
134	82	530
135	82	527
136	83	524
137	83	521
138	83	518
139	83	515
140	84	512
141	84	509
142	84	506
143	84	504
144	85	501
145	85	498
146	85	496
147	85	493
148	85	491
149	86	488
150	86	486
151	86	483
152	86	481
153	87	478
154	87	476
155	87	474
156	87	471
157	88	469
158	88	467
159	88	464
160	88	462
161	88	460
162	89	458
163	90	460
164	90	458
165	90	457
166	91	455
167	91	453
168	91	451
169	92	449
170	92	448
171	92	446
172	92	444
173	93	442
174	93	440
175	93	438
176	93	436
177	94	434
178	94	432
179	94	431
180	94	429
181	95	427
182	95	425
183	95	423
184	95	422
185	96	420
186	96	418
187	96	416
188	96	415
189	96	413
190	97	411
191	97	410
192	97	408
193	97	406
194	98	405
195	98	403
196	98	402
197	98	400
198	99	399
199	99	398
200	99	396
201	100	395
202	100	394
203	100	392
204	100	391
205	101	389
206	101	388
207	101	387
208	101	385
209	102	384
210	102	382
211	102	381
212	102	380
213	103	379
214	103	377
215	103	376
216	103	375
217	104	373
218	104	372
219	104	371
220	104	370
221	105	368
222	105	367
223	105	366
224	106	365
225	106	364
226	106	362
227	106	361
228	107	360
229	107	359
230	107	358
231	107	356
232	108	355
233	108	354
234	108	353
235	108	352
236	109	351
237	109	349
238	109	348
239	109	347
240	109	346
241	110	345
242	110	344
243	110	342
244	110	341
245	111	340
246	111	339
247	111	338
248	111	337
249	112	336
250	112	335
251	112	334
252	112	333
253	113	332
254	113	330
255	113	329
256	113	328
257	114	327
258	114	326
259	114	325
260	114	324
261	114	323
262	115	322
263	115	321
264	115	320
265	115	319
266	116	318
267	116	317
268	116	316
269	116	315
270	117	315
271	117	314
272	117	313
273	117	312
274	118	311
275	118	310
276	118	309
277	118	308
278	119	307
279	119	306
280	119	305
281	119	305
282	120	304
283	120	303
284	120	302
285	120	301
286	121	300
287	121	300
288	121	299
289	121	298
290	122	297
291	122	296
292	122	295
293	122	294
294	123	294
295	123	293
296	123	292
297	123	291
298	124	290
299	124	289
300	124	289
301	124	288
302	124	287
303	125	286
304	125	285
305	125	285
306	125	284
307	126	283
308	126	282
309	126	281
310	126	281
311	127	280
312	127	279
313	127	278
314	127	277
315	128	277
316	128	276
317	128	275
318	128	274
319	128	274
320	129	273
321	129	272
322	129	271
323	129	271
324	130	270
325	130	269
326	130	268
327	130	268
328	131	267
329	131	266
330	131	265
331	131	265
332	132	264
333	132	263
334	132	263
335	132	262
336	133	261
337	133	260
338	133	260
339	133	259
340	134	258
341	134	258
342	134	257
343	134	257
344	135	256
345	135	255
346	135	255
347	135	254
348	136	253
349	136	253
350	136	252
351	136	251
352	136	251
353	137	250
354	137	249
355	137	249
356	137	248
357	138	247
358	138	247
359	138	246
360	138	245
361	139	245
362	139	244
363	139	243
364	139	243
365	140	242
366	140	242
367	140	241
368	140	240
369	141	240
370	141	239
371	141	238
372	141	238
373	141	237
374	142	237
375	142	236
376	142	235
377	142	235
378	143	234
379	143	233
380	143	233
381	143	232
382	144	232
383	144	231
384	144	230
385	144	230
386	144	229
387	145	229
388	145	228
389	145	227
390	145	227
391	146	226
392	146	226
393	146	225
394	146	224
395	147	224
396	147	223
397	147	223
398	147	222
399	148	222
400	148	221
401	148	220
402	148	220
403	149	219
404	149	219
405	149	218
406	149	218
407	150	217
408	150	217
409	150	216
410	150	216
411	150	215
412	151	214
413	151	214
414	151	213
415	151	213
416	152	212
417	152	212
418	152	211
419	152	211
420	153	210
421	153	210
422	153	209
423	153	208
424	154	208
425	154	207
426	154	207
427	154	206
428	154	206
429	155	205
430	155	205
431	155	204
432	155	204
433	156	203
434	156	203
435	156	202
436	156	202
437	157	201
438	157	201
439	157	200
440	157	200
441	158	199
442	158	198
443	158	198
444	158	197
445	158	197
446	159	196
447	159	196
448	159	195
449	160	195
450	160	195
451	160	194
452	160	194
453	161	193
454	161	193
455	161	192
456	161	192
457	162	191
458	162	191
459	162	190
460	162	190
461	163	189
462	163	189
463	163	189
464	163	188
465	164	188
466	164	187
467	164	187
468	164	186
469	165	186
470	165	185
471	165	185
472	165	184
473	166	184
474	166	183
475	166	183
476	166	182
477	167	182
478	167	182
479	167	181
480	167	181
481	168	180
482	168	180
483	168	179
484	168	179
485	169	178
486	169	178
487	169	177
488	169	177
489	169	176
490	170	176
491	170	176
492	170	175
493	170	175
494	171	174
495	171	174
496	171	173
497	171	173
498	172	172
499	172	172
500	172	171
501	172	171
502	173	171
503	173	170
504	173	170
505	173	169
506	174	169
507	174	169
508	174	168
509	175	168
510	175	167
511	175	167
512	175	166
513	176	166
514	176	166
515	176	165
516	176	165
517	177	164
518	177	164
519	177	163
520	177	163
521	178	163
522	178	162
523	178	162
524	179	162
525	179	161
526	179	161
527	179	160
528	180	160
529	180	159
530	180	159
531	180	159
532	181	158
533	181	158
534	181	157
535	181	157
536	181	156
537	182	156
538	182	156
539	182	155
540	182	155
541	183	154
542	183	154
543	183	153
544	183	153
545	184	153
546	184	152
547	184	152
548	184	151
549	185	151
550	185	150
551	185	150
552	185	150
553	185	149
554	186	149
555	186	148
556	186	148
557	186	148
558	187	147
559	187	147
560	187	146
561	187	146
562	188	145
563	188	145
564	188	145
565	188	144
566	188	144
567	189	143
568	189	143
569	189	143
570	189	142
571	190	142
572	190	141
573	190	141
574	190	141
575	191	140
576	191	140
577	191	139
578	191	139
579	192	139
580	192	138
581	192	138
582	192	137
583	193	137
584	193	137
585	193	136
586	193	136
587	194	136
588	194	135
589	194	135
590	194	134
591	195	134
592	195	134
593	195	133
594	195	133
595	195	132
596	196	132
597	196	132
598	196	131
599	196	131
600	197	130
601	197	130
602	197	130
603	197	129
604	198	129
605	198	128
606	198	128
607	198	128
608	198	127
609	199	127
610	199	126
611	199	126
612	199	126
613	200	125
614	200	125
615	200	125
616	200	124
617	201	124
618	201	123
619	201	123
620	201	123
621	202	122
622	202	122
623	202	122
624	202	121
625	202	121
626	203	120
627	203	120
628	203	120
629	203	119
630	204	119
631	204	119
632	204	118
633	204	118
634	205	117
635	205	117
636	205	117
637	205	116
638	206	116
639	206	116
640	206	115
641	206	115
642	207	115
643	207	114
644	208	114
645	208	114
646	208	113
647	208	113
648	209	113
649	209	112
650	209	112
651	209	112
652	210	111
653	210	111
654	210	110
655	210	110
656	211	110
657	211	109
658	211	109
659	211	109
660	211	108
661	212	108
662	212	107
663	212	107
664	212	107
665	213	106
666	213	106
667	213	106
668	213	105
669	214	105
670	214	105
671	214	104
672	214	104
673	215	104
674	215	103
675	215	103
676	215	102
677	215	102
678	216	102
679	216	101
680	216	101
681	216	101
682	217	100
683	217	100
684	217	100
685	217	99
686	218	99
687	218	99
688	218	98
689	218	98
690	219	97
691	219	97
692	219	97
693	219	96
694	220	96
695	220	96
696	220	95
697	220	95
698	221	95
699	221	94
700	221	94
701	221	94
702	222	93
703	222	93
704	222	93
705	222	92
706	223	92
707	223	92
708	223	91
709	223	91
710	224	91
711	224	90
712	224	90
713	224	90
714	225	89
715	225	89
716	225	89
717	225	88
718	226	88
719	226	88
720	226	87
721	226	87
722	227	86
723	227	86
724	227	86
725	227	85
726	227	85
727	228	85
728	228	84
729	228	84
730	228	84
731	229	83
732	229	83
733	229	83
734	229	82
735	230	82
736	230	82
737	230	81
738	230	81
739	231	81
740	231	80
741	231	80
742	231	80
743	231	79
744	232	79
745	232	79
746	232	78
747	232	78
748	233	78
749	233	77
750	233	77
751	233	77
752	234	76
753	234	76
754	234	76
755	234	75
756	235	75
757	235	75
758	235	74
759	235	74
760	235	74
761	236	73
762	236	73
763	236	73
764	237	72
765	237	72
766	237	72
767	237	71
768	238	71
769	238	71
770	238	70
771	238	70
772	238	70
773	239	69
774	239	69
775	239	69
776	239	68
777	240	68
778	240	68
779	240	67
780	240	67
781	241	67
782	241	66
783	241	66
784	241	66
785	242	65
786	242	65
787	242	65
788	242	64
789	242	64
790	243	64
791	243	63
792	243	63
793	243	63
794	244	62
795	244	62
796	244	62
797	244	61
798	245	61
799	245	61
800	245	61
801	245	60
802	246	60
803	246	60
804	246	59
805	246	59
806	247	59
807	247	58
808	247	58
809	247	58
810	247	57
811	248	57
812	248	57
813	248	56
814	248	56
815	249	56
816	249	55
817	249	55
818	249	55
819	250	54
820	250	54
821	250	54
822	250	53
823	251	53
824	251	53
825	251	53
826	251	52
827	252	52
828	252	52
829	252	51
830	252	51
831	253	51
832	253	50
833	253	50
834	253	50
835	254	49
836	254	49
837	254	49
838	254	48
839	255	48
840	255	48
841	255	47
842	255	47
843	256	47
844	256	47
845	256	46
846	256	46
847	257	46
848	257	45
849	257	45
850	257	45
851	257	44
852	258	44
853	258	44
854	258	43
855	258	43
856	259	43
857	259	42
858	259	42
859	259	42
860	260	41
861	260	41
862	260	41
863	260	41
864	261	40
865	261	40
866	261	40
867	261	39
868	262	39
869	262	39
870	262	38
871	262	38
872	262	38
873	263	37
874	263	37
875	263	37
876	263	37
877	264	36
878	264	36
879	264	36
880	264	35
881	265	35
882	265	35
883	265	34
884	265	34
885	266	34
886	266	33
887	266	33
888	266	33
889	267	33
890	267	32
891	267	32
892	267	32
893	268	31
894	268	31
895	268	31
896	268	30
897	269	30
898	269	30
899	269	29
900	269	29
901	270	29
902	270	29
903	270	28
904	270	28
905	271	28
906	271	27
907	271	27
908	271	27
909	272	26
910	272	26
911	272	26
912	272	26
913	273	25
914	273	25
915	273	25
916	273	24
917	274	24
918	274	24
919	274	23
920	274	23
921	274	23
922	275	22
923	275	22
924	275	22
925	275	22
926	276	21
927	276	21
928	276	21
929	276	20
930	277	20
931	277	20
932	277	19
933	277	19
934	278	19
935	278	19
936	279	18
937	279	18
938	279	18
939	279	17
940	280	17
941	280	17
942	280	16
943	280	16
944	281	16
945	281	16
946	281	15
947	281	15
948	282	15
949	282	14
950	282	14
951	282	14
952	283	13
953	283	13
954	283	13
955	283	13
956	284	12
957	284	12
958	284	12
959	284	11
960	285	11
961	285	11
962	285	10
963	285	10
964	286	10
965	286	10
966	286	9
967	286	9
968	287	9
969	287	8
970	287	8
971	287	8
972	288	7
973	288	7
974	288	7
975	288	7
976	288	6
977	289	6
978	289	6
979	289	5
980	289	5
981	290	5
982	290	5
983	290	4
984	290	4
985	291	4
986	291	3
987	291	3
988	291	3
989	292	2
990	292	2
991	292	2
992	292	2
993	292	1
994	293	1
995	293	1
996	293	0
997	294	0
998	294	0
999	294	0
